pathway_id,pathway_name,source,description,organism
ecocyc.PWY-7346,UDP-α-D-glucuronate biosynthesis (from UDP-glucose),EcoCyc,"General Background UDP-GLUCURONATE is a common compound found in all kingdoms of life. In some Gram-negative bacteria it is a precursor for synthesis of the O-Antigens O-antigen, a component of the outer membrane Lipopolysaccharides lipopolysaccharides (see PWY-7328), or of cell wall components such as CPD0-1099 (see COLANSYN-PWY). In some Gram-positive bacteria it is involved in the synthesis of the capsular polysaccharide . In plants a large amount of the cell-wall biomass is derived from UDP-GLUCURONATE through the complex interconversion of nucleotide sugars (for review see ). UDP-GLUCURONATE is converted to a number of other sugars including UDP-D-GALACTURONATE, UDP-D-XYLOSE and CPD-12513 (see PWY-5114), which form diverse plant cell wall Hemicelluloses. In animals UDP-GLUCURONATE is an intermediate in the synthesis of ASCORBATE by certain organsisms (see PWY3DJ-35471 and PWY-6415). The other anomeric form, CPD-12521, is found in Glycosaminoglycans glycosaminoglycan side chains of",Escherichia coli K-12 MG1655
ecocyc.PWY-4261,glycerol degradation I,EcoCyc,"GLYCEROL Glycerol uptake in bacteria is mediated by the glycerol diffusion facilitator, an integral membrane protein catalyzing the rapid equilibration of concentration gradients of glycerol across the cytoplasmic membrane. Intracellular glycerol is converted to GLYCEROL-3P by the enzyme glycerol kinase that uses ATP as phosphoryl donor. GLYCEROL-3P ""Glycerol-3-P"" is not a substrate of the glycerol diffusion facilitator and thus remains in the cell, where it is further metabolized. As a result, the driving force for the uptake of glycerol is generated by the phosphorylation of glycerol by glycerol kinase. While GLYCEROL-3P can not leave the cytoplasm, it can be imported into the cell by the GlpT transporter, a member of the major facilitator superfamily, that couples the import of glycerol-3-P into the cytoplasm to the export of inorganic phosphates from the cytoplasm to the periplasm . In TAX-562 GLYCEROL-3P can be further metabolized to DIHYDROXY-ACETONE-PHOSPHATE by either of two me",Escherichia coli K-12 MG1655
ecocyc.PWY0-1313,acetate conversion to acetyl-CoA,EcoCyc,"In the absence of other substrates, acetate can serve as a total source of carbon and energy for E. coli. This so-called Acs pathway functions in a mainly anabolic role, scavenging acetate present in the extracellular medium. Induction of acs expression functions as the metabolic switch activating this pathway . Acs activity constitutes one of two distinct pathways by which E. coli activates acetate to acetyl-CoA. The acs pathway is an inducible pathway that plays a major role in the aerobic utilization of acetate. Mutant strains blocked in the acs pathway grow poorly on acetate. Mutants blocked in both pathways are unable to grow on acetate. Because it is a high-affinity system, the acs pathway is the major scavenger of acetate when extracellular concentrations of it are low. It also enables E. coli to utilize PROPIONATE. Review: Clark, D.P. and John E. Cronan. EcoSal module 3.4.4 An acs mutant strain grows poorly on solid media with low concentrations of acetate as the sole source of",Escherichia coli K-12 MG1655
ecocyc.LIPA-CORESYN-PWY,lipid A-core biosynthesis (E. coli K-12),EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1277,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,EcoCyc,"Different strains of E. coli have the ability to utilize certain aromatic acids as the sole source of carbon. Shown here, E. coli K-12 can grow on both 3-PHENYLPROPIONATE and 3-HYDROXYPHENYL-PROPIONATE . This is one of only two aromatic-ring-cleavage pathways found in E. coli (for the second one, see PWY0-321). That E. coli can degrade aromatic acids suggests a wider natural distribution for the organism than the anaerobic environment of the animal gut . In the utilization of aromatic acids as a carbon and energy source, E. coli employs a branched meta-cleavage pathway for the degradation of 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate. Degradation of these two compounds ultimately yields succinate, acetaldehyde and pyruvate. Acetaldehyde is further metabolized to yield acetyl-CoA. The pathway has eight known steps, which makes it among the longest catabolic sequences in E. coli.",Escherichia coli K-12 MG1655
ecocyc.TRNA-CHARGING-PWY,tRNA charging,EcoCyc,This pathway groups together all E. coli tRNA charging reactions.,Escherichia coli K-12 MG1655
ecocyc.PWY0-1501,BarA UvrY Two-Component Signal Transduction System,EcoCyc,"In E. coli, two-component regulatory systems sense and respond to changes in environmental conditions. In the prototypical system a membrane associated sensor kinase autophosphorylates in response to an environmental signal. The sensor kinase then transfers a phosphoryl group to a response regulator (RR) which, thus activated, effects a response. The majority of RRs in E. coli are transcription factors. The BarA/UvrY two-component system comprises the membrane associated sensor kinase BarA and the DNA-binding transcription activator UvrY. The BarA/UvrY two-component system is believed to play a role in central carbon metabolism via its regulation of the small non-coding RNAs CSRC-RNA ""CsrC and CSRB-RNA ""CsrB"" . BarA is a tripartite sensor kinase which is predicted to phosphorylate its cognate response regulator UvrY via a His→Asp→His→Asp phosphorelay . Autophosphorylation of BarA has been demonstrated in vitro as has the transfer of phosphate from phosphorylated BarA to UvrY . The sign",Escherichia coli K-12 MG1655
ecocyc.PWY-5901,"2,3-dihydroxybenzoate biosynthesis",EcoCyc,"General Background Iron is an essential trace element. In the presence of oxygen, ferrous iron (Fe2+) is oxidized to ferric iron (Fe3+) which forms insoluble compounds that are not available to bacteria. As a result, the level of physiologically available iron can drop to low levels and become growth-limiting. To survive, many bacteria evolved specialized transport systems for low molecular weight iron chelating compounds called siderophores which form complexes with Fe3+. Amino acid conjugates of 2,3-dihydroxybenzoate make up a major class of siderophores, including enterobactin, bacillibactin and 2,3-dihydroxybenzoylglycine. E. coli produces only one siderophore, enterobactin which is a cyclic triester of 2,3-dihydroxybenzoylserine. It is transported by the EG10293-MONOMER which imports Fe3+ chelated to enterobactin into the cell. Enterobactin biosynthesis in unnecessary under anaerobic conditions when iron is in the soluble Fe2+ form. About This Pathway As indicated in the first the",Escherichia coli K-12 MG1655
ecocyc.PWY-4621-1,arsenic detoxification VI (E. coli),EcoCyc,"General Background While the jury is still out about whether Napoleon Bonaparte died of arsenic poisoning or cancer , it is agreed by all that arsenic is a potent toxin. Indeed, the results of exposure to high arsenic concentration in drinking water in West Bengal, India, and Bangladesh are considered by some to be the worst public health disaster in recent history . The form of arsenic influences the type and severity of toxicity. Arsenate (AsV) is a structural analog of phosphate, and inhibits phosphorylation processes. For example, ADP-arsenate spontaneously hydrolyzes, resulting in uncoupling of oxidative phosphorylation , while arsenite (AsIII) has a very high affinity for thiol groups, and thus binds to and inhibits many key enzymes that have thiol groups in their active sites. In addition, inorganic arsenic is a potent carcinogen . Arsenate enters the cell via the phosphate transport systems, such as the E. coli PITA-MONOMER and ABC-27-CPLX ""Pst"" systems. Both prokaryotes and eu",Escherichia coli K-12 MG1655
ecocyc.GLCMANNANAUT-PWY,"superpathway of N-acetylneuraminate, N-acetylglucosamine, and N-acetylmannosamine degradation to β-D-fructofuranose 6-phosphate",EcoCyc,"Amino sugars are components of the cell surface structures of E. coli. They can also be utilized as carbon and nitrogen sources. N-acetylglucosamine, -mannosamine and -neuraminic acid can all be transported into the cell and metabolized. The three dissimilation pathways converge at N-acetylglucosamine-6-phosphate.",Escherichia coli K-12 MG1655
