# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Code associated to evidence
## (2) Name of the Evidence
## (3) Group of the evidence (Code rule)
## (4) Confidence Level of the evidence
## (5) Object(s) were this evidence appears (Promoter,Transcription Units,Regulatory Interactions,Transcription Factors)
## (6) Category of the Evidence
1)evidence_code	2)evidence_name	3)evidence_group	4)confidence_level	5)object_type	6)evidence_category 
EXP-IGI-FUNC-COMPLEMENTATION	Inferred by functional complementation		S	Transcription Factors	Classical experiment 
EV-EXP-IEP-LUCIFERASE	Luciferase reporter gene assay evidence			Regulatory Interactions	 
EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-DNASE-FOOTPRINTING	DNAse footprinting evidence			Regulatory Interactions	 
EXP-IGI	Inferred from genetic interaction		W	Regulatory Interactions|Transcription Factors	Classical binding 
EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-SEQ	High-throughput ChIP-seq evidence	4	W	Regulatory Interactions	High-throughput binding 
EXP-IDA-PURIFIED-PROTEIN-HH	Assay of protein purified to homogeneity from a heterologous host		S	Transcription Factors	Classical experiment 
EXP-IDA-UNPURIFIED-PROTEIN	Assay of unpurified protein 		W	Transcription Factors	Classical experiment 
COMP-HINF-SIMILAR-TO-CONSENSUS	A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.	7	W	Regulatory Interactions	non-experimental 
EXP-IDA-TRANSCRIPTION-INIT-MAPPING	Transcription initiation mapping	15	S	Promoter	Classical experiment 
EXP-HTP-HEP-RNA-SEQ	High-throughput RNA-seq evidence	8	W	Promoter|Transcription Units|Regulatory Interactions	High-throughput expression 
COMP-HINF-POSITIONAL-IDENTIFICATION	Human inference of promoter position	7	W	Promoter	non-experimental 
EXP-IDA-RNA-POLYMERASE-FOOTPRINTING	RNA polymerase footprinting	9	S	Promoter	Classical experiment 
COMP-AINF-POSITIONAL-IDENTIFICATION	Automated inference of promoter position	7	W	Promoter	non-experimental 
EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS	Primer extension assay for transcription start site determination			Promoter	 
EXP-IDA	Inferred from direct assay		W	Promoter|Transcription Units|Regulatory Interactions|Transcription Factors	Classical binding 
EXP-HTP-HEP-MICROARRAY	High-throughput expression microarray evidence	8	W	Transcription Units|Regulatory Interactions	High-throughput expression 
COMP-AINF-SEQ-ORTHOLOGY	Automated inference of function by sequence orthology		W	Transcription Factors	non-experimental 
COMP-IBA	Inferred from Biological aspect from Ancestor		W	Transcription Units|Regulatory Interactions	non-experimental 
EXP-CHIP-EXO-MANUAL	ChIP-exo evidence used in manual assertion	4	W	Regulatory Interactions	High-throughput binding 
EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS	Binding of cellular extracts	3	W	Regulatory Interactions|Transcription Factors	Classical binding 
EXP-IEP-COREGULATION	Inferred through co-regulation		W	Transcription Units	Classical experiment 
COMP-HINF	Inferred by a human based on computational evidence	7	W	Promoter|Transcription Units|Regulatory Interactions|Transcription Factors	non-experimental 
EXP-CHIP-PCR	ChIP-PCR evidence	4	W	Regulatory Interactions	High-throughput binding 
EXP-CHIP-CHIP-MANUAL	ChIP-chip evidence used in manual assertion	4	W	Regulatory Interactions	High-throughput binding 
IDA-PURIFIED-PROTEIN-NH	Assay of protein purified to homogeneity from its native host		S	Transcription Factors	Classical experiment 
EV-EXP-IEP-BETA-GAL	Beta-galactosidase reporter gene assay evidence			Transcription Units|Regulatory Interactions|Transcription Factors	 
COMP-HINF-ORTHOLOGY-EXP	Inference of function by an author or curator based on ortholog with experimental function in closely related strain or species.		W	Transcription Factors	non-experimental 
EXP-IDA-BOUNDARIES-DEFINED	Boundaries of transcription experimentally identified	14	W	Transcription Units	Classical experiment 
COMP-HINF-PATTERN-DISCOVERY	Manually curated inference based on sequence pattern discovery	7	W	Regulatory Interactions	non-experimental 
EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-S1	S1 nuclease protection assay evidence for transcription start site determination evidence			Promoter	 
COMP-AINF-SIMILAR-TO-CONSENSUS	Automated inference based on similarity to consensus sequences	7	W	Regulatory Interactions	non-experimental 
EXP-IMP-SITE-MUTATION	Site mutation	1	S	Promoter|Regulatory Interactions|Transcription Factors	Classical binding 
COMP-AINF	Inferred computationally without human oversight	7	W	Promoter|Transcription Units|Regulatory Interactions|Transcription Factors	non-experimental 
COMP	Inferred by computational analysis	7	W	Promoter|Regulatory Interactions|Transcription Factors	non-experimental 
EXP-CHIP-PCR-MANUAL	ChIP-PCR evidence used in manual assertion	4	W	Regulatory Interactions	High-throughput binding 
EXP-CHIP-SEQ-MANUAL	ChIP-seq evidence used in manual assertion	4	W	Regulatory Interactions	High-throughput binding 
EXP-TAS	Traceable author statement to experimental support		W	Promoter|Transcription Units|Regulatory Interactions	non-experimental 
COMP-AINF-SINGLE-DIRECTON	Automated inference that a single-gene directon is a transcription unit 	13	W	Transcription Units	non-experimental 
AS	Author statement		W	Transcription Units|Regulatory Interactions	non-experimental 
EXP-HTP-HDA-NUC-ACID-BINDING	Nucleic acid binding evidence		W	Promoter|Regulatory Interactions	High-throughput protocol 
IC	Inferred by curator		W	Promoter|Transcription Units|Regulatory Interactions	non-experimental 
EXP	Inferred from experiment		W	Transcription Units|Regulatory Interactions|Transcription Factors	 
