entity_id,entity_type,name,aliases,default_state,allowed_states,annotation,pathways,subcellular_location,source_database,source_id,external_ids,is_external,is_exogenous,family_key,display_name,merged_from,complex_type,is_virtual,components,critical_components,assembly_condition,notes
protein.P0AD59,protein,ivy,ivy ykfE b0220 JW0210,active,active|inhibited|degraded|sequestered,FUNCTION: Strong inhibitor of lysozyme C.,,SUBCELLULAR LOCATION: Periplasm.,UniProt,P0AD59,UniProt:P0AD59|KEGG:ecj:JW0210;eco:b0220;|GeneID:946530;|GO:GO:0030288; GO:0042803; GO:0060241,false,true,protein:uniprot:p0ad59,ivy (P0AD59 #3),protein.P0AD59,,,,,,Inhibitor of vertebrate lysozyme
protein.P76113,protein,curA,curA yncB b1449 JW5907,active,active|inhibited|degraded|sequestered,"FUNCTION: Catalyzes the metal-independent reduction of curcumin to dihydrocurcumin (DHC) as an intermediate product, followed by further reduction to tetrahydrocurcumin (THC) as an end product. It also acts on 3-octene-2-one, 3-hepten-2-one, resveratrol, and trans-2-octenal. {ECO:0000269|PubMed:21467222}.",,,UniProt,P76113,UniProt:P76113|KEGG:ecj:JW5907;eco:b1449;ecoc:C3026_08430;|GeneID:946012;|GO:GO:0052849|EC:1.3.1.n3,false,true,protein:uniprot:p76113,curA (P76113 #3),protein.P76113,,,,,,NADPH-dependent curcumin reductase (EC 1.3.1.n3) (NADPH-dependent curcumin/dihydrocurcumin reductase)
protein.P0A8H8,protein,yacG,yacG b0101 JW5008,active,active|inhibited|degraded|sequestered,"FUNCTION: Inhibits all the catalytic activities of DNA gyrase by preventing its interaction with DNA. Acts by binding directly to the C-terminal domain of GyrB, which probably disrupts DNA binding by the gyrase. {ECO:0000255|HAMAP-Rule:MF_00649, ECO:0000269|PubMed:18586829}.",,,UniProt,P0A8H8,UniProt:P0A8H8|KEGG:ecj:JW5008;eco:b0101;ecoc:C3026_00410;|GeneID:93777334;945630;|GO:GO:0006355; GO:0008270; GO:0008657,false,true,protein:uniprot:p0a8h8,yacG (P0A8H8 #3),protein.P0A8H8,,,,,,DNA gyrase inhibitor YacG
protein.P33012,protein,sbmC,sbmC gyrI yeeB b2009 JW1991,active,active|inhibited|degraded|sequestered,"FUNCTION: Inhibits the supercoiling activity of DNA gyrase. Acts by inhibiting DNA gyrase at an early step, prior to (or at the step of) binding of DNA by the gyrase. It protects cells against toxins that target DNA gyrase, by inhibiting activity of these toxins and reducing the formation of lethal double-strand breaks in the cell. Protects cells against the natural plasmid-encoded toxins microcin B17 (MccB17) and CcdB, and synthetic quinolones. Can also protect cells against alkylating agents that act independently of DNA gyrase, suggesting a more general role in protecting cells against DNA damage. {ECO:0000269|PubMed:11850398, ECO:0000269|PubMed:13680098, ECO:0000269|PubMed:8709849, ECO:0000269|PubMed:9442027}.",,SUBCELLULAR LOCATION: Cytoplasm.,UniProt,P33012,UniProt:P33012|KEGG:ecj:JW1991;eco:b2009;ecoc:C3026_11335;|GeneID:946546;|GO:GO:0005737; GO:0006974; GO:0008657; GO:2000104,false,true,protein:uniprot:p33012,sbmC (P33012 #3),protein.P33012,,,,,,DNA gyrase inhibitor
protein.P11072,protein,lit,lit b1139 JW1125,active,active|inhibited|degraded|sequestered,FUNCTION: Interacts with a short DNA sequence about one-quarter of the way into the major capsid protein gene 23 of T4; general translation inhibition occurs when this late gene of the virus is expressed. {ECO:0000269|PubMed:2452152}.,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,UniProt,P11072,UniProt:P11072|KEGG:ecj:JW1125;eco:b1139;|GeneID:948421;|GO:GO:0005886; GO:0006448; GO:0006508; GO:0008233,false,true,protein:uniprot:p11072,lit (P11072 #3),protein.P11072,,,,,,Cell death peptidase (Bacteriophage T4 late gene expression-blocking protein) (GpLit)
protein.P24218,protein,intD,intD int b0537 JW0525,active,active|inhibited|degraded|sequestered,"FUNCTION: Integrase from the cryptic lambdoid prophage DLP12. Integrase is necessary for integration of the phage into the host genome by site-specific recombination. In conjunction with excisionase, integrase is also necessary for excision of the prophage from the host genome.",,,UniProt,P24218,UniProt:P24218|KEGG:ecj:JW0525;eco:b0537;ecoc:C3026_02635;|GeneID:947162;|GO:GO:0003677; GO:0005829; GO:0006310; GO:0007059; GO:0008979; GO:0009009; GO:0044826; GO:0046718,false,true,protein:uniprot:p24218,intD (P24218 #3),protein.P24218,,,,,,Prophage integrase IntD (Prophage DLP12 integrase) (Prophage QSR' integrase)
protein.P76056,protein,intR,intR ydaP b1345 JW1339,active,active|inhibited|degraded|sequestered,"FUNCTION: Integrase is necessary for integration of the phage into the host genome by site-specific recombination. In conjunction with excisionase, integrase is also necessary for excision of the prophage from the host genome (By similarity). {ECO:0000250}.",,,UniProt,P76056,UniProt:P76056|KEGG:ecj:JW1339;eco:b1345;|GeneID:946976;|GO:GO:0003677; GO:0006310; GO:0007059; GO:0009009; GO:0044826; GO:0046718; GO:0075713,false,true,protein:uniprot:p76056,intR (P76056 #3),protein.P76056,,,,,,Prophage integrase IntR (Putative lambdoid prophage Rac integrase)
protein.P76168,protein,intQ,intQ b1579 JW1571,active,active|inhibited|degraded|sequestered,"FUNCTION: Integrase is necessary for integration of the phage into the host genome by site-specific recombination. In conjunction with excisionase, integrase is also necessary for excision of the prophage from the host genome (By similarity). {ECO:0000250}.",,,UniProt,P76168,UniProt:P76168|KEGG:ecj:JW1571;|GO:GO:0003677; GO:0006310; GO:0007059; GO:0009009; GO:0044826; GO:0046718; GO:0075713,false,true,protein:uniprot:p76168,intQ,protein.P76168,,,,,,Putative defective protein IntQ (Putative lambdoid prophage Qin defective integrase)
protein.P27297,protein,bax,bax b3570 JW5653,active,active|inhibited|degraded|sequestered,Protein bax,,,UniProt,P27297,UniProt:P27297|KEGG:ecj:JW5653;eco:b3570;ecoc:C3026_19355;|GeneID:75173770;948089;|GO:GO:0004040; GO:0005524,false,true,protein:uniprot:p27297,bax (P27297 #3),protein.P27297,,,,,,Protein bax
molecule.C00027,small_molecule,Hydrogen peroxide,Hydrogen peroxide; H2O2; Oxydol,low,absent|low|medium|high,KEGG compound: Hydrogen peroxide; H2O2; Oxydol,,,KEGG,C00027,KEGG:C00027,false,true,sm:kegg:c00027,Hydrogen peroxide,molecule.C00027,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00034,small_molecule,Manganese,Manganese,low,absent|low|medium|high,KEGG compound: Manganese,,,KEGG,C00034,KEGG:C00034,false,true,sm:kegg:c00034,Manganese,molecule.C00034,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00038,small_molecule,Zinc cation,Zinc cation; Zn2+; Zn(II); Zinc ion,low,absent|low|medium|high,KEGG compound: Zinc cation; Zn2+; Zn(II); Zinc ion,,,KEGG,C00038,KEGG:C00038,false,true,sm:kegg:c00038,Zinc cation,molecule.C00038,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00070,small_molecule,Copper,Copper,low,absent|low|medium|high,KEGG compound: Copper,,,KEGG,C00070,KEGG:C00070,false,true,sm:kegg:c00070,Copper,molecule.C00070,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00071,small_molecule,Aldehyde,Aldehyde; RCHO,low,absent|low|medium|high,KEGG compound: Aldehyde; RCHO,,,KEGG,C00071,KEGG:C00071,false,true,sm:kegg:c00071,Aldehyde,molecule.C00071,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00072,small_molecule,Ascorbate,Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C,low,absent|low|medium|high,KEGG compound: Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C,,,KEGG,C00072,KEGG:C00072,false,true,sm:kegg:c00072,Ascorbate,molecule.C00072,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00087,small_molecule,Sulfur,Sulfur; S; Elemental sulfur,low,absent|low|medium|high,KEGG compound: Sulfur; S; Elemental sulfur,,,KEGG,C00087,KEGG:C00087,false,true,sm:kegg:c00087,Sulfur,molecule.C00087,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00089,small_molecule,Sucrose,Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside,low,absent|low|medium|high,KEGG compound: Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside,,,KEGG,C00089,KEGG:C00089,false,true,sm:kegg:c00089,Sucrose,molecule.C00089,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00090,small_molecule,Catechol,"Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol",low,absent|low|medium|high,"KEGG compound: Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol",,,KEGG,C00090,KEGG:C00090,false,true,sm:kegg:c00090,Catechol,molecule.C00090,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00094,small_molecule,Sulfite,Sulfite|Sulfurous acid|SO3|SO3-2|sulfite,low,absent|low|medium|high,KEGG compound: Sulfite; Sulfurous acid,,,KEGG,C00094,KEGG:C00094|EcoCyc:SO3|BIGG:so3|HMDB:HMDB00240|CHEMSPIDER:1068|CAS:14265-45-3|PUBCHEM:1099|CHEBI:17359|canonicalized_from:molecule.ecocyc.SO3,false,true,sm:kegg:c00094,Sulfite,molecule.C00094,,,,,,Included because it appears in at least one E. coli KEGG pathway. | molecule.ecocyc.SO3: EcoCyc:SO3
molecule.C00120,small_molecule,Biotin,Biotin; D-Biotin; Vitamin H; Coenzyme R,low,absent|low|medium|high,KEGG compound: Biotin; D-Biotin; Vitamin H; Coenzyme R,,,KEGG,C00120,KEGG:C00120,false,true,sm:kegg:c00120,Biotin,molecule.C00120,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00132,small_molecule,Methanol,Methanol; Methyl alcohol; CH3OH,low,absent|low|medium|high,KEGG compound: Methanol; Methyl alcohol; CH3OH,,,KEGG,C00132,KEGG:C00132,false,true,sm:kegg:c00132,Methanol,molecule.C00132,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00133,small_molecule,D-Alanine,D-Alanine; D-2-Aminopropionic acid; D-Ala,low,absent|low|medium|high,KEGG compound: D-Alanine; D-2-Aminopropionic acid; D-Ala,,,KEGG,C00133,KEGG:C00133,false,true,sm:kegg:c00133,D-Alanine,molecule.C00133,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00146,small_molecule,Phenol,Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid,low,absent|low|medium|high,KEGG compound: Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid,,,KEGG,C00146,KEGG:C00146,false,true,sm:kegg:c00146,Phenol,molecule.C00146,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00175,small_molecule,Cobalt ion,Cobalt ion; Cobalt(2+); Co2+; Co(II),low,absent|low|medium|high,KEGG compound: Cobalt ion; Cobalt(2+); Co2+; Co(II),,,KEGG,C00175,KEGG:C00175,false,true,sm:kegg:c00175,Cobalt ion,molecule.C00175,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00180,small_molecule,Benzoate,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid,low,absent|low|medium|high,KEGG compound: Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid,,,KEGG,C00180,KEGG:C00180,false,true,sm:kegg:c00180,Benzoate,molecule.C00180,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00181,small_molecule,D-Xylose,D-Xylose; Wood sugar,low,absent|low|medium|high,KEGG compound: D-Xylose; Wood sugar,,,KEGG,C00181,KEGG:C00181,false,true,sm:kegg:c00181,D-Xylose,molecule.C00181,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00185,small_molecule,Cellobiose,Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose,low,absent|low|medium|high,KEGG compound: Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose,,,KEGG,C00185,KEGG:C00185,false,true,sm:kegg:c00185,Cellobiose,molecule.C00185,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00187,small_molecule,Cholesterol,Cholesterol; Cholest-5-en-3beta-ol,low,absent|low|medium|high,KEGG compound: Cholesterol; Cholest-5-en-3beta-ol,,,KEGG,C00187,KEGG:C00187,false,true,sm:kegg:c00187,Cholesterol,molecule.C00187,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00192,small_molecule,Hydroxylamine,Hydroxylamine; NH2OH,low,absent|low|medium|high,KEGG compound: Hydroxylamine; NH2OH,,,KEGG,C00192,KEGG:C00192,false,true,sm:kegg:c00192,Hydroxylamine,molecule.C00192,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00195,small_molecule,N-Acylsphingosine,N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide,low,absent|low|medium|high,KEGG compound: N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide,,,KEGG,C00195,KEGG:C00195,false,true,sm:kegg:c00195,N-Acylsphingosine,molecule.C00195,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00207,small_molecule,Acetone,Acetone; Dimethyl ketone; 2-Propanone; Propan-2-one,low,absent|low|medium|high,KEGG compound: Acetone; Dimethyl ketone; 2-Propanone; Propan-2-one,,,KEGG,C00207,KEGG:C00207,false,true,sm:kegg:c00207,Acetone,molecule.C00207,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00209,small_molecule,Oxalate,Oxalate; Oxalic acid; Ethanedioic acid,low,absent|low|medium|high,KEGG compound: Oxalate; Oxalic acid; Ethanedioic acid,,,KEGG,C00209,KEGG:C00209,false,true,sm:kegg:c00209,Oxalate,molecule.C00209,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00216,small_molecule,D-Arabinose,D-Arabinose; D-Arabinopyranose,low,absent|low|medium|high,KEGG compound: D-Arabinose; D-Arabinopyranose,,,KEGG,C00216,KEGG:C00216,false,true,sm:kegg:c00216,D-Arabinose,molecule.C00216,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00218,small_molecule,Methylamine,Methylamine; Methanamine,low,absent|low|medium|high,KEGG compound: Methylamine; Methanamine,,,KEGG,C00218,KEGG:C00218,false,true,sm:kegg:c00218,Methylamine,molecule.C00218,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00219,small_molecule,Arachidonate,"Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid",low,absent|low|medium|high,"KEGG compound: Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid",,,KEGG,C00219,KEGG:C00219,false,true,sm:kegg:c00219,Arachidonate,molecule.C00219,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00226,small_molecule,Primary alcohol,Primary alcohol; 1-Alcohol,low,absent|low|medium|high,KEGG compound: Primary alcohol; 1-Alcohol,,,KEGG,C00226,KEGG:C00226,false,true,sm:kegg:c00226,Primary alcohol,molecule.C00226,,,,,,Included because it appears in at least one E. coli KEGG pathway.
